"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -3.763985571,      -7.747141898,      -7.009828725,      -8.299117223
          0,           0,           1,      -3.809027022,      -3.110992128,      -3.746734258,      -8.165928219
          0,           0,           2,      -3.953884472,      -3.417958837,      -3.777544446,      -8.298529418
          0,           0,           3,      -4.005434829,      -3.672666104,      -3.763746119,      -8.364371326
          0,           0,           4,      -3.996750126,      -3.806696222,      -3.731236736,      -8.390474142
          0,           0,           5,      -3.975935424,      -3.831482204,      -3.703231507,      -8.398399762
          0,           0,           6,      -3.960942025,       -3.81364599,      -3.676625689,      -8.398039223
          0,           0,           7,      -3.948596897,      -3.787169944,      -3.652999613,      -8.397691019
          0,           0,           8,       -3.94218024,      -3.764661916,      -3.637512707,      -8.394562502
          0,           0,           9,       -3.93932016,      -3.752211205,      -3.634925189,      -8.382720542
          0,           0,          10,      -3.932275255,        -3.7487121,      -3.643943631,      -8.362561391
          0,           0,          11,      -3.918156715,      -3.751369584,      -3.660068541,      -8.340609027
          0,           0,          12,      -3.899758063,      -3.759413046,      -3.678703831,      -8.319113721
          0,           0,          13,      -3.881243005,      -3.772324813,      -3.696243623,      -8.300715086
          0,           0,          14,      -3.864786709,      -3.788094304,      -3.710055369,      -8.286779889
          0,           0,          15,      -3.851664177,      -3.803625125,      -3.717497817,      -8.275593801
          0,           0,          16,      -3.841947298,      -3.814334149,        -3.7169294,      -8.268078333
          0,           0,          17,      -3.834756645,      -3.817152838,      -3.708549224,      -8.262870362
          0,           0,          18,      -3.829389532,       -3.81107983,      -3.694269047,      -8.259278935
          0,           0,          19,      -3.825202391,      -3.797215365,      -3.676870778,      -8.256697938
          0,           0,          20,       -3.82182669,      -3.779095969,      -3.659148312,      -8.254595356
          0,           0,          21,        -3.8189732,      -3.760712002,      -3.643557216,      -8.251690221
          0,           0,          22,      -3.816374561,      -3.745071504,      -3.632112695,      -8.246666305
          0,           0,          23,      -3.813922223,      -3.733666763,      -3.626166246,      -8.239599098
          0,           0,          24,       -3.81170734,      -3.726595993,      -3.626128205,      -8.231310191
          0,           0,          25,      -3.810039025,      -3.723185679,      -3.631146279,      -8.224033947
          0,           0,          26,      -3.809311696,      -3.722288248,      -3.639061383,      -8.220196017
          0,           0,          27,      -3.809663742,      -3.722275814,      -3.646821552,      -8.222275188
          0,           0,          28,      -3.810915454,      -3.720923218,      -3.651128799,      -8.230983866
          0,           0,          29,      -3.812528353,      -3.716014643,      -3.649658909,       -8.24508497
          0,           0,          30,      -3.814089845,      -3.706647017,      -3.642302834,      -8.260156206
          0,           0,          31,      -3.815821047,      -3.694288251,      -3.631656818,      -8.267946233
