"PointID","x","y","Pressure","Velocity_x","Velocity_y","Nu_Tilde"
4, 1.000000000000000e+00, 0.000000000000000e+00, -1.546813148974747e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5, 9.997532800000000e-01, 2.619000000000000e-05, -8.688170655912708e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
6, 9.990133600000000e-01, 1.047000000000000e-04, -7.894522473421702e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
7, 9.977809800000000e-01, 2.352900000000000e-04, -7.225563159934078e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
8, 9.960573500000000e-01, 4.176100000000000e-04, -7.098719680109970e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
9, 9.938441700000000e-01, 6.511500000000000e-04, -8.361676120838515e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
10, 9.911436300000001e-01, 9.352700000000000e-04, -9.357921703992413e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
11, 9.879583800000000e-01, 1.269180000000000e-03, -1.011144337677879e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
12, 9.842915800000001e-01, 1.651980000000000e-03, -1.092027031589208e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
13, 9.801468400000000e-01, 2.082630000000000e-03, -1.148919768512615e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
14, 9.755282600000000e-01, 2.559980000000000e-03, -1.253180773644330e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
15, 9.704403800000000e-01, 3.082790000000000e-03, -1.402697277411088e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
16, 9.648882400000000e-01, 3.649670000000000e-03, -1.522021938440571e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
17, 9.588773100000000e-01, 4.259190000000000e-03, -1.549748765219548e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
18, 9.524135300000000e-01, 4.909790000000000e-03, -1.734408547711922e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
19, 9.455032600000000e-01, 5.599850000000000e-03, -1.867442802316148e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
20, 9.381533399999999e-01, 6.327700000000000e-03, -1.995065143913023e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
21, 9.303710100000000e-01, 7.091560000000000e-03, -2.111255950961569e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
22, 9.221639600000000e-01, 7.889640000000000e-03, -2.197013867726214e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
23, 9.135402900000000e-01, 8.720080000000000e-03, -2.445364179269913e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
24, 9.045085000000000e-01, 9.580979999999999e-03, -2.620487813831595e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
25, 8.950775100000000e-01, 1.047041000000000e-02, -2.810327087334325e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
26, 8.852566200000000e-01, 1.138641000000000e-02, -2.741933570594018e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
27, 8.750555300000000e-01, 1.232699000000000e-02, -2.837198786662637e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
28, 8.644843100000000e-01, 1.329014000000000e-02, -3.072513714864922e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
29, 8.535533900000000e-01, 1.427385000000000e-02, -3.303453294641919e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
30, 8.422735500000000e-01, 1.527606000000000e-02, -3.576512018706408e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
31, 8.306559300000000e-01, 1.629472000000000e-02, -3.894419026546136e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
32, 8.187119899999999e-01, 1.732776000000000e-02, -4.086583191489408e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
